datetime,pm25_avg,pm25_min,pm25_max,pm25_median,coverage_pct,is_pm25_missing,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,surface_pressure,boundary_layer_height,wind_u,wind_v,date,weekday,year,month,day,hour,is_weekend,month_sin,month_cos,hour_sin,hour_cos
2024-11-19 10:00:00+00:00,29.13999938964844,29.13999938964844,29.13999938964844,29.13999938964844,100.0,False,32.0,55,0.0,1.57,59,1006.8,910.0,-1.3457526621023164,-0.808609777608785,2024-11-19,1,2024,11,19,10,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387
2024-11-19 11:00:00+00:00,29.15000009536743,29.15000009536743,29.15000009536743,29.15000009536743,100.0,False,30.9,59,0.1,0.29,211,1007.6,150.0,0.1493610417239157,0.2485785172036125,2024-11-19,1,2024,11,19,11,0,-0.5000000000000004,0.8660254037844384,0.258819045102521,-0.9659258262890682
2024-11-19 12:00:00+00:00,31.78333314259847,31.78333314259847,31.78333314259847,31.78333314259847,100.0,False,29.3,68,0.0,1.37,204,1008.4,245.0,0.5572292010138463,1.2515572769703631,2024-11-19,1,2024,11,19,12,0,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
2024-11-19 13:00:00+00:00,30.95000012715657,30.95000012715657,30.95000012715657,30.95000012715657,100.0,False,26.6,77,0.2,0.78,105,1009.5,95.0,-0.7534221445054733,0.2018788551799662,2024-11-19,1,2024,11,19,13,0,-0.5000000000000004,0.8660254037844384,-0.2588190451025208,-0.9659258262890683
2024-11-19 14:00:00+00:00,30.21666669845581,30.21666669845581,30.21666669845581,30.21666669845581,100.0,False,26.6,79,0.1,1.1,309,1010.0,85.0,0.854860557602668,-0.6922524301548213,2024-11-19,1,2024,11,19,14,0,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388
2024-11-19 15:00:00+00:00,31.06666660308838,31.06666660308838,31.06666660308838,31.06666660308838,100.0,False,26.8,79,0.0,0.89,164,1009.9,55.0,-0.2453172466771293,0.8555229093851038,2024-11-19,1,2024,11,19,15,0,-0.5000000000000004,0.8660254037844384,-0.7071067811865471,-0.7071067811865479
2024-11-19 16:00:00+00:00,35.800000508626304,35.800000508626304,35.800000508626304,35.800000508626304,100.0,False,26.4,82,0.0,1.0,307,1009.9,75.0,0.798635510047293,-0.6018150231520479,2024-11-19,1,2024,11,19,16,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844385,-0.5000000000000004
2024-11-19 17:00:00+00:00,37.100000063578285,37.100000063578285,37.100000063578285,37.100000063578285,100.0,False,26.0,85,0.0,0.89,344,1009.5,60.0,0.245317246677129,-0.8555229093851038,2024-11-19,1,2024,11,19,17,0,-0.5000000000000004,0.8660254037844384,-0.9659258262890683,-0.25881904510252063
2024-11-19 18:00:00+00:00,47.51666609446208,47.51666609446208,47.51666609446208,47.51666609446208,100.0,False,25.5,89,0.0,0.71,8,1008.9,60.0,-0.0988129016816464,-0.7030903288065149,2024-11-19,1,2024,11,19,18,0,-0.5000000000000004,0.8660254037844384,-1.0,-1.8369701987210297e-16
2024-11-19 19:00:00+00:00,57.21666685740153,57.21666685740153,57.21666685740153,57.21666685740153,100.0,False,25.2,91,0.0,1.0,357,1008.5,65.0,0.0523359562429443,-0.9986295347545738,2024-11-19,1,2024,11,19,19,0,-0.5000000000000004,0.8660254037844384,-0.9659258262890684,0.2588190451025203
2024-11-19 20:00:00+00:00,32.52500009536743,32.52500009536743,32.52500009536743,32.52500009536743,100.0,False,25.0,93,0.0,1.14,23,1007.9,70.0,-0.445433486477772,-1.049375532935782,2024-11-19,1,2024,11,19,20,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001
2024-11-19 21:00:00+00:00,28.81666660308838,28.81666660308838,28.81666660308838,28.81666660308838,100.0,False,24.7,93,0.0,1.25,2,1007.5,80.0,-0.0436243708781262,-1.2492385337738696,2024-11-19,1,2024,11,19,21,0,-0.5000000000000004,0.8660254037844384,-0.7071067811865477,0.7071067811865474
2024-11-19 22:00:00+00:00,35.833333333333336,35.833333333333336,35.833333333333336,35.833333333333336,100.0,False,24.5,94,0.0,1.6,340,1007.6,110.0,0.5472322293210697,-1.5035081932574537,2024-11-19,1,2024,11,19,22,0,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
2024-11-19 23:00:00+00:00,49.800000508626304,49.800000508626304,49.800000508626304,49.800000508626304,100.0,False,24.2,95,0.0,1.64,340,1008.1,130.0,0.5609130350540965,-1.5410958980888898,2024-11-19,1,2024,11,19,23,0,-0.5000000000000004,0.8660254037844384,-0.25881904510252157,0.9659258262890681
2024-11-20 00:00:00+00:00,54.24999968210856,54.24999968210856,54.24999968210856,54.24999968210856,100.0,False,25.2,89,0.0,1.3,356,1008.9,200.0,0.0906834158673633,-1.2968332653377714,2024-11-20,2,2024,11,20,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-11-20 01:00:00+00:00,53.43333371480306,53.43333371480306,53.43333371480306,53.43333371480306,100.0,False,28.0,76,0.0,0.78,15,1010.3,300.0,-0.2018788551799661,-0.7534221445054733,2024-11-20,2,2024,11,20,1,0,-0.5000000000000004,0.8660254037844384,0.25881904510252074,0.9659258262890683
2024-11-20 02:00:00+00:00,24.933333079020183,24.933333079020183,24.933333079020183,24.933333079020183,100.0,False,30.2,65,0.0,0.54,22,1010.6,570.0,-0.2022875604445925,-0.5006792814660652,2024-11-20,2,2024,11,20,2,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
2024-11-20 03:00:00+00:00,31.620833079020183,31.620833079020183,31.620833079020183,31.620833079020183,100.0,False,32.2,55,0.0,0.61,55,1010.2,1020.0,-0.499682747016285,-0.3498816261741381,2024-11-20,2,2024,11,20,3,0,-0.5000000000000004,0.8660254037844384,0.7071067811865476,0.7071067811865476
2024-11-20 04:00:00+00:00,36.30000019073486,36.30000019073486,36.30000019073486,36.30000019073486,100.0,False,33.5,48,0.0,1.02,79,1009.4,1355.0,-1.0012597271166173,-0.1946251752840758,2024-11-20,2,2024,11,20,4,0,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001
2024-11-20 05:00:00+00:00,39.98333326975504,39.98333326975504,39.98333326975504,39.98333326975504,100.0,False,34.5,45,0.0,1.33,70,1008.5,1550.0,-1.2497911856452582,-0.4548867906231396,2024-11-20,2,2024,11,20,5,0,-0.5000000000000004,0.8660254037844384,0.9659258262890683,0.25881904510252074
2024-11-20 06:00:00+00:00,41.06666628519694,41.06666628519694,41.06666628519694,41.06666628519694,100.0,False,35.2,43,0.0,1.37,66,1007.3,1690.0,-1.2515572769703631,-0.5572292010138463,2024-11-20,2,2024,11,20,6,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17
2024-11-20 07:00:00+00:00,46.73333326975504,46.73333326975504,46.73333326975504,46.73333326975504,100.0,False,34.7,43,0.0,1.54,65,1006.4,1655.0,-1.395713992036441,-0.6508321230806772,2024-11-20,2,2024,11,20,7,0,-0.5000000000000004,0.8660254037844384,0.9659258262890683,-0.25881904510252063
2024-11-20 08:00:00+00:00,37.18333339691162,37.18333339691162,37.18333339691162,37.18333339691162,100.0,False,33.5,46,0.2,0.58,59,1006.1,1265.0,-0.4971570344072251,-0.2987220834478314,2024-11-20,2,2024,11,20,8,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998
2024-11-20 09:00:00+00:00,32.65000009536743,32.65000009536743,32.65000009536743,32.65000009536743,100.0,False,30.2,62,0.7,3.6,115,1006.7,405.0,-3.2627080333319403,1.5214257422665176,2024-11-20,2,2024,11,20,9,0,-0.5000000000000004,0.8660254037844384,0.7071067811865476,-0.7071067811865475
2024-11-20 10:00:00+00:00,37.62916692097982,37.62916692097982,37.62916692097982,37.62916692097982,100.0,False,28.9,69,0.2,2.72,73,1007.6,355.0,-2.6011489362194564,-0.7952510368458441,2024-11-20,2,2024,11,20,10,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387
2024-11-20 11:00:00+00:00,32.28333314259847,32.28333314259847,32.28333314259847,32.28333314259847,100.0,False,27.6,76,0.1,2.81,85,1008.2,405.0,-2.799307101637805,-0.2449076371209193,2024-11-20,2,2024,11,20,11,0,-0.5000000000000004,0.8660254037844384,0.258819045102521,-0.9659258262890682
