iter	MultiRMSE
0	39.36874032
1	38.97810348
2	38.60515071
3	38.26553382
4	37.89309949
5	37.55059528
6	37.23562739
7	36.91878447
8	36.60306249
9	36.30481691
10	36.01675697
11	35.74240567
12	35.47883065
13	35.22411656
14	34.9835583
15	34.73616046
16	34.49148871
17	34.28951735
18	34.08669941
19	33.87764024
20	33.67577979
21	33.48694549
22	33.30116587
23	33.13018021
24	32.95841528
25	32.81101118
26	32.649073
27	32.50126651
28	32.3631878
29	32.21879298
30	32.09018286
31	31.96856349
32	31.84899449
33	31.72983583
34	31.61591076
35	31.50073567
36	31.39813459
37	31.2877231
38	31.18535507
39	31.09034078
40	30.99525052
41	30.89767542
42	30.80657702
43	30.72854866
44	30.64504094
45	30.5664055
46	30.49578956
47	30.41890875
48	30.34048931
49	30.27382805
50	30.20716658
51	30.13946541
52	30.0716381
53	30.00640034
54	29.94097635
55	29.87188856
56	29.81711842
57	29.75214253
58	29.70210048
59	29.63837921
60	29.58697303
61	29.53502892
62	29.48913055
63	29.43457908
64	29.38931254
65	29.35016136
66	29.30422918
67	29.25170964
68	29.20822055
69	29.16327907
70	29.12639505
71	29.0936087
72	29.05381262
73	29.01950138
74	28.98127576
75	28.93297303
76	28.9010862
77	28.86423708
78	28.83255815
79	28.79568475
80	28.76485779
81	28.73392186
82	28.69739974
83	28.66924004
84	28.62955434
85	28.60340915
86	28.57493451
87	28.54460322
88	28.51155079
89	28.47993304
90	28.45499373
91	28.42911806
92	28.40082893
93	28.37351894
94	28.34686594
95	28.32834235
96	28.2983151
97	28.25960233
98	28.24126396
99	28.22225467
100	28.19711757
101	28.17737953
102	28.15333986
103	28.12714662
104	28.10182886
105	28.08121032
106	28.06195216
107	28.02546391
108	28.00778281
109	27.98999699
110	27.97214301
111	27.9495377
112	27.93260267
113	27.90645228
114	27.88769527
115	27.86423496
116	27.84333001
117	27.82099209
118	27.80129424
119	27.780746
120	27.75848772
121	27.73952297
122	27.72843901
123	27.71317935
124	27.68991655
125	27.66553144
126	27.6523717
127	27.6412638
128	27.62253424
129	27.6032251
130	27.58381847
131	27.56698419
132	27.55331278
133	27.53636569
134	27.52259592
135	27.5133476
136	27.49668602
137	27.47259654
138	27.45188053
139	27.43086152
140	27.40738923
141	27.39172976
142	27.37832363
143	27.35466766
144	27.33205139
145	27.32114873
146	27.30113688
147	27.28369271
148	27.26922605
149	27.25465765
150	27.23980108
151	27.22875601
152	27.2219387
153	27.21071853
154	27.19395606
155	27.18235173
156	27.16154171
157	27.14753125
158	27.14122116
159	27.12710697
160	27.11143524
161	27.09757058
162	27.08485026
163	27.06747551
164	27.04819784
165	27.03009472
166	27.01896693
167	27.00484284
168	26.99282747
169	26.98504206
170	26.97075925
171	26.9629257
172	26.95352181
173	26.93713441
174	26.93200165
175	26.91392383
176	26.89908292
177	26.8865929
178	26.87633589
179	26.86535891
180	26.84887123
181	26.83844547
182	26.83023467
183	26.81227002
184	26.80132121
185	26.78518418
186	26.77820289
187	26.76784027
188	26.75341529
189	26.73819545
190	26.72554652
191	26.72054107
192	26.71101381
193	26.697498
194	26.6873353
195	26.6738968
196	26.66587961
197	26.65258813
198	26.63679534
199	26.61855295
200	26.60504813
201	26.59882529
202	26.59039725
203	26.57857756
204	26.57082896
205	26.56553113
206	26.5552687
207	26.54114109
208	26.53135019
209	26.52329565
210	26.51408414
211	26.49912049
212	26.49006498
213	26.47460328
214	26.46483026
215	26.44667005
216	26.43217391
217	26.42606977
218	26.41820907
219	26.40882653
220	26.39366233
221	26.38274041
222	26.37506732
223	26.37281516
224	26.36419214
225	26.34616303
226	26.33017013
227	26.31935605
228	26.30968064
229	26.29893046
230	26.29861556
231	26.28121438
232	26.2662903
233	26.25551596
234	26.24377416
235	26.23808406
236	26.22786739
237	26.21345913
238	26.19469652
239	26.18001105
240	26.1692775
241	26.15549566
242	26.14772337
243	26.13532372
244	26.12909634
245	26.12340976
246	26.11797403
247	26.10890994
248	26.10423406
249	26.09767005
250	26.0850381
251	26.07566395
252	26.0661352
253	26.05747296
254	26.03570169
255	26.02927659
256	26.02692224
257	26.01930096
258	26.00865631
259	25.99730841
260	25.98044078
261	25.96486288
262	25.94988456
263	25.94138526
264	25.91758365
265	25.90966885
266	25.90204632
267	25.88802958
268	25.87426295
269	25.87250181
270	25.86023026
271	25.84674948
272	25.83766325
273	25.82696294
274	25.81583737
275	25.80763879
276	25.80755375
277	25.798803
278	25.78696967
279	25.77615646
280	25.76943833
281	25.75925191
282	25.748642
283	25.72993832
284	25.72186817
285	25.7137272
286	25.70383331
287	25.68509204
288	25.67343728
289	25.66936346
290	25.66279759
291	25.64640064
292	25.6342766
293	25.62279137
294	25.61376012
295	25.60555188
296	25.60029864
297	25.58698256
298	25.57460651
299	25.56234446
300	25.54727946
301	25.53683788
302	25.52554147
303	25.52051334
304	25.51403011
305	25.50865347
306	25.50334915
307	25.5029762
308	25.49106841
309	25.4772509
310	25.47091544
311	25.45905553
312	25.44499816
313	25.4353632
314	25.43055034
315	25.42677055
316	25.41283804
317	25.40406615
318	25.40342544
319	25.39341903
320	25.39318133
321	25.38791884
322	25.38582153
323	25.36926487
324	25.35782236
325	25.35624135
326	25.34183361
327	25.3273531
328	25.31367942
329	25.29874004
330	25.28850355
331	25.27788327
332	25.27202521
333	25.25711914
334	25.25209333
335	25.24019433
336	25.22541418
