iter	MultiRMSE
337	25.21625594
338	25.20722865
339	25.20104357
340	25.1842725
341	25.17795963
342	25.16955669
343	25.16195258
344	25.1486878
345	25.13022197
346	25.1226076
347	25.11557101
348	25.10610361
349	25.09922574
350	25.09524193
351	25.08994517
352	25.07717375
353	25.05990029
354	25.05062788
355	25.04080029
356	25.03108329
357	25.02217979
358	25.00961222
359	25.00266116
360	24.98492949
361	24.97193738
362	24.96622542
363	24.9655517
364	24.95159821
365	24.93959294
366	24.92884461
367	24.91989647
368	24.90755548
369	24.89317114
370	24.88193131
371	24.86911311
372	24.85872154
373	24.84421597
374	24.83780216
375	24.82788989
376	24.817435
377	24.80450624
378	24.79418528
379	24.78420297
380	24.77324419
381	24.76258823
382	24.74786107
383	24.74107505
384	24.73100253
385	24.72479625
386	24.71450539
387	24.70392202
388	24.69775791
